Beta,Threshold,FP,FN,FP_cost,FN_cost,Total_cost
baseline,N/A,0,2604,0.6,0.4,1041.6000000000001
0.1,0.99,132,2513,0.6,0.4,1084.4
0.5,0.9500000000000001,1171,2071,0.6,0.4,1531.0
1,0.9,3086,1659,0.6,0.4,2515.2
2,0.77,8278,1090,0.6,0.4,5402.8
5,0.49,23102,488,0.6,0.4,14056.4
