Beta,Threshold,FP,FN,FP_cost,FN_cost,Total_cost
baseline,N/A,0,2604,0.1,0.9,2343.6
0.1,0.99,132,2513,0.1,0.9,2274.9
0.5,0.9500000000000001,1171,2071,0.1,0.9,1981.0
1,0.9,3086,1659,0.1,0.9,1801.7000000000003
2,0.77,8278,1090,0.1,0.9,1808.8000000000002
5,0.49,23102,488,0.1,0.9,2749.4
