Beta,Threshold,FP,FN,FP_cost,FN_cost,Total_cost
baseline,N/A,0,2604,0.05,0.95,2473.7999999999997
0.1,0.99,132,2513,0.05,0.95,2393.95
0.5,0.9500000000000001,1171,2071,0.05,0.95,2025.9999999999998
1,0.9,3086,1659,0.05,0.95,1730.35
2,0.77,8278,1090,0.05,0.95,1449.4
5,0.49,23102,488,0.05,0.95,1618.7
