Beta,Threshold,FP,FN,FP_cost,FN_cost,Total_cost
baseline,N/A,0,2604,0.5,0.5,1302.0
0.1,0.99,132,2513,0.5,0.5,1322.5
0.5,0.9500000000000001,1171,2071,0.5,0.5,1621.0
1,0.9,3086,1659,0.5,0.5,2372.5
2,0.77,8278,1090,0.5,0.5,4684.0
5,0.49,23102,488,0.5,0.5,11795.0
